titulo,precio,habitaciones,m2,altura,zona
"Piso en Calle de Olite, Bellas Vistas, Madrid",1.700€/mes,2,68,Planta 4ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle Tudelilla, 3, Bellas Vistas, Madrid",1.150€/mes,1,45,Bajo exterior con ascensor,"Bellas Vistas, Madrid"
"Ático en Calle de Francos Rodríguez, Bellas Vistas, Madrid",1.850€/mes,2,90,Planta 8ª exterior con ascensor,"Bellas Vistas, Madrid"
"Piso en Calle de la Coruña, Cuatro Caminos, Madrid",1.200€/mes,1,45,Bajo exterior sin ascensor,"Cuatro Caminos, Madrid"
"Piso en Bellas Vistas, Madrid",1.350€/mes,2,53,Planta 1ª exterior sin ascensor,Madrid
"Piso en Calle de Maudes, Nuevos Ministerios-Ríos Rosas, Madrid",5.850€/mes,3,192,Planta 2ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Ático en Calle Francisca Conde, 3, Valdeacederas, Madrid",1.300€/mes,2,90,Planta 3ª exterior sin ascensor,"Valdeacederas, Madrid"
"Estudio en Calle del Marqués de Leis, 10, Cuzco-Castillejos, Madrid",1.100€/mes,N/A,42,Bajo interior sin ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle del Aviador Zorita, Madrid, 6, Cuatro Caminos, Madrid",2.700€/mes,2,77,Planta 3ª interior con ascensor,"Madrid, Cuatro Caminos, Madrid"
"Piso en Calle de Alenza, Nuevos Ministerios-Ríos Rosas, Madrid",3.500€/mes,4,147,Planta 3ª exterior con ascensor,"Nuevos Ministerios-Ríos Rosas, Madrid"
"Piso en Edgar Neville, Cuatro Caminos, Madrid",5.535€/mes,4,180,Planta 1ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle de Mariano Fernández, Berruguete, Madrid",1.640€/mes,1,55,Bajo exterior con ascensor,"Berruguete, Madrid"
"Piso en Calle del General Margallo, Cuzco-Castillejos, Madrid",2.430€/mes,2,57,Planta 5ª exterior con ascensor,"Cuzco-Castillejos, Madrid"
"Piso en Calle de Lérida, Cuatro Caminos, Madrid",3.375€/mes,3,120,Planta 4ª exterior con ascensor,"Cuatro Caminos, Madrid"
"Piso en Calle Marqués de Viana, 82, Valdeacederas, Madrid",1.762€/mes,3,88,Planta 19ª exterior con ascensor,"Valdeacederas, Madrid"
